"Id","SalePrice"
1461,126739.4375
1462,158582.09375
1463,186561.5
1464,199211.6875
1465,176785.671875
1466,178816.28125
1467,172428.71875
1468,167187.3125
1469,184887.765625
1470,122999.4765625
1471,199634.921875
1472,93106.640625
1473,102768.9296875
1474,149361.265625
1475,140022.90625
1476,358889.375
1477,256660.84375
1478,303269.6875
1479,178078.390625
1480,486787.40625
1481,300105.78125
1482,203276.84375
1483,171319.640625
1484,171263.40625
1485,175023.25
1486,196073.765625
1487,316132.15625
1488,243992.5625
1489,218798.46875
1490,207365.984375
1491,186917.125
1492,93080.0703125
1493,189587.046875
1494,266135.71875
1495,295078.9375
1496,222600.328125
1497,180353.984375
1498,164553.453125
1499,158207.75
1500,151561.265625
1501,183177.34375
1502,160109.765625
1503,281363.25
1504,215208.5
1505,217609.578125
1506,188197.296875
1507,256841.90625
1508,208672.265625
1509,162532.796875
1510,155911.046875
1511,148127.03125
1512,179940.796875
1513,160423.0625
1514,184646.453125
1515,188557.3125
1516,159509.828125
1517,166978.46875
1518,130985.75
1519,233259.421875
1520,142137.796875
1521,141445.734375
1522,153283.96875
1523,116400.546875
1524,125073.2578125
1525,119153.484375
1526,129857.9453125
1527,107091.9140625
1528,134874.109375
1529,144928.5
1530,174424.25
1531,116243.953125
1532,100115.78125
1533,135851.40625
1534,128393.8828125
1535,153074.734375
1536,114983.4765625
1537,69879.8359375
1538,182777.171875
1539,126989.765625
1540,100172.1875
1541,151189.15625
1542,144968.8125
1543,201966.765625
1544,90162.7421875
1545,106612.375
1546,130485.734375
1547,141314.75
1548,130612.453125
1549,106208.2578125
1550,146196.609375
1551,119119.1796875
1552,144118.28125
1553,151590.078125
1554,121205.5625
1555,177037.578125
1556,97316.4375
1557,117613.6953125
1558,90005.1953125
1559,101333.4765625
1560,131589.0625
1561,148849.265625
1562,123719.9921875
1563,121113.296875
1564,142952.21875
1565,151322
1566,237869.0625
1567,78363.6328125
1568,249431.734375
1569,174053.484375
1570,145594.890625
1571,126689.515625
1572,153046.703125
1573,243707.703125
1574,102760.3203125
1575,205350.453125
1576,236699.515625
1577,197477.203125
1578,161917.1875
1579,147944.25
1580,193076.203125
1581,145334.375
1582,125256.90625
1583,300961.1875
1584,220181.171875
1585,139677.03125
1586,76171.375
1587,92594.5234375
1588,149496.03125
1589,99099.625
1590,126933.9765625
1591,89268.0546875
1592,117208.515625
1593,129537.4765625
1594,128148.078125
1595,99893.9375
1596,244713.578125
1597,183734.8125
1598,203917.421875
1599,201519.921875
1600,171890.484375
1601,70495.9375
1602,133038.28125
1603,101408.3046875
1604,274384.5625
1605,222386.84375
1606,163158.984375
1607,137434.5625
1608,210739.015625
1609,198936.859375
1610,167153.515625
1611,138161.09375
1612,165931.5
1613,142138.640625
1614,117300.453125
1615,93349.53125
1616,70902.765625
1617,86332.5625
1618,125484.2734375
